,direction,energy,field,filename,functional,molecule,multiplicity,no_scf_cycles,orbital_threshold,precision,property_threshold,u_norm,u_x,u_y,u_z,walltime
928,z,-466.2053469045384,+0.001,licl_lda_+0001_z.out,lda,licl,1,10,1e-06,1e-07,-1.0,2.6552096751,-1.3270632964e-11,2.9144641439e-12,-2.6552096751,4267.192
929,x,-26.27665394614124,+0.001,bh3_lda_+0001_x.out,lda,bh3,1,8,1e-06,1e-07,-1.0,0.020213874046,0.020213869798,1.3105003414e-05,-5.1747108578e-12,1696.804
930,y,-93.33091702103494,+0.001,hnc_pbe_+0001_y.out,pbe,hnc,1,11,1e-06,1e-07,-1.0,1.2061224089,-9.2459080109e-11,0.016403649196,1.2060108563,4977.756
931,z,-169.7924422739703,+0.001,hconh2_pbe_+0001_z.out,pbe,hconh2,1,14,1e-06,1e-07,-1.0,1.5055002518,-1.4816080979,-0.26630989325,0.021154034134,11848.02
932,non,-110.5655031644486,0,n2h2_pbe_000.out,pbe,n2h2,1,18,1e-06,1e-07,-1.0,1.0878114036,0.39933602767,-1.0571405714e-11,1.0118618417,1181.294
933,y,-76.6310197713114,+0.001,c2h2_lda_+0001_y.out,lda,c2h2,1,9,1e-06,1e-07,-1.0,0.019996063073,-8.9993195326e-12,0.019996063073,7.7059039912e-11,3368.591
934,z,-484.5160420487437,-0.001,bh2cl_lda_-0001_z.out,lda,bh2cl,1,11,1e-06,1e-07,-1.0,0.20836480975,-1.0731797551e-11,-1.0045709882e-11,-0.20836480975,6076.925
935,y,-536.7029133271735,+0.001,hcccl_pbe_+0001_y.out,pbe,hcccl,1,11,1e-06,1e-07,-1.0,0.10797836193,-1.5327495334e-10,0.028406020438,-0.10417497132,9468.916
936,z,-378.4205197185348,+0.001,hcp_lda_+0001_z.out,lda,hcp,1,10,1e-06,1e-07,-1.0,0.18410034793,-7.0880511866e-10,-1.4381752307e-09,0.18410034793,5062.403
937,x,-451.7203106269088,+0.001,hns_lda_+0001_x.out,lda,hns,1,13,1e-06,1e-07,-1.0,0.54641315344,0.050604708454,-0.54406479186,-4.6873993395e-07,6518.553
938,z,-274.5645185435667,-0.001,of2_pbe_-0001_z.out,pbe,of2,1,15,1e-06,1e-07,-1.0,0.095928968426,8.9910650398e-09,2.3724175785e-09,0.095928968426,11758.51
939,x,-684.8216549907894,+0.001,p2h4_pbe_+0001_x.out,pbe,p2h4,1,9,1e-06,1e-07,-1.0,0.38444350348,0.051868572802,0.0011864756795,0.38092656878,8612.746
940,z,-498.2879609496435,+0.001,ch3cl_lda_+0001_z.out,lda,ch3cl,1,12,1e-06,1e-07,-1.0,0.69201292151,-9.019746161e-06,6.8542808215e-10,-0.69201292145,7272.497
941,non,-340.7306193498465,0,alf_lda_000.out,lda,alf,1,15,1e-06,1e-07,-1.0,0.57456167768,1.5173223017e-07,-1.2742934149e-06,-0.57456167768,1326.179
942,x,-125.0440232031473,+0.001,bh2f_lda_+0001_x.out,lda,bh2f,1,10,1e-06,1e-07,-1.0,0.2524589911,0.015394790091,1.287116328e-10,-0.25198917165,4608.64
943,x,-992.126532890668,-0.001,ocl2_lda_-0001_x.out,lda,ocl2,1,21,1e-06,1e-07,-1.0,0.20509650587,-0.030707754112,1.0531753224e-08,-0.20278464084,23437.7
944,z,-93.84699411123492,+0.001,ch2nh_lda_+0001_z.out,lda,ch2nh,1,12,1e-06,1e-07,-1.0,0.80987086238,-0.53691170726,-3.1807985061e-08,0.60631397175,5409.702
945,z,-155.6440375215342,+0.001,nh2f_pbe_+0001_z.out,pbe,nh2f,1,15,1e-06,1e-07,-1.0,0.85435653031,0.63694812906,-0.26110433049,0.5060105635,8698.514
946,y,-39.4469259639262,-0.001,ch3_lda_-0001_y.out,lda,ch3,2,8,1e-06,1e-07,-1.0,0.017287717048,-3.5539044064e-07,-0.017287717044,7.2513707553e-12,3254.411
947,y,-322.9274747175509,+0.001,na2_lda_+0001_y.out,lda,na2,1,8,1e-06,1e-07,-1.0,0.1855818068,-1.3387754306e-11,0.1855818068,-2.2586272607e-08,4404.016
948,non,-94.55526124464939,0,ch2nh_pbe_000.out,pbe,ch2nh,1,20,1e-06,1e-07,-1.0,0.76517931365,-0.51718023886,-3.0819859957e-07,0.56393615115,1240.194
949,z,-225.1304110324662,-0.001,bhf2_pbe_-0001_z.out,pbe,bhf2,1,10,1e-06,1e-07,-1.0,0.28620458174,-2.5210013515e-08,-5.3998352456e-09,0.28620458174,7760.586
950,z,-1.16670173296507,+0.001,h2_pbe_+0001_z.out,pbe,h2,1,6,1e-06,1e-07,-1.0,0.0069340586682,-1.3107850598e-12,-1.3438778154e-12,0.0069340586682,873.3642
951,z,-124.5867068959343,+0.001,bf_pbe_+0001_z.out,pbe,bf,1,10,1e-06,1e-07,-1.0,0.43248472454,-9.2319818336e-09,-4.301444479e-08,0.43248472454,4222.566
952,x,-162.0049052289673,-0.001,nah_lda_-0001_x.out,lda,nah,1,8,1e-06,1e-07,-1.0,2.2327737052,-0.042685333962,-8.114834252e-12,-2.2323656467,2521.359
953,y,-113.7821964168232,+0.001,hco_pbe_+0001_y.out,pbe,hco,2,19,1e-06,1e-07,-1.0,0.60273173501,0.57401178746,-0.18383691751,-1.2044809554e-07,16751.34
954,x,-437.2825220022686,-0.001,hchs_pbe_-0001_x.out,pbe,hchs,1,11,1e-06,1e-07,-1.0,0.65826454463,-0.027245026847,-2.2745563985e-09,-0.65770047835,6750.353
955,x,-130.7905288117446,-0.001,nh2oh_lda_-0001_x.out,lda,nh2oh,1,14,1e-06,1e-07,-1.0,0.25313547315,0.025135748938,0.2518844217,-1.1440974452e-11,6983.164
956,z,-399.2427392945622,+0.001,sh2_pbe_+0001_z.out,pbe,sh2,1,9,1e-06,1e-07,-1.0,0.35458680676,-2.5513826891e-11,-5.1451598544e-12,-0.35458680676,4119.593
957,y,-423.4716994113535,+0.001,hbs_pbe_+0001_y.out,pbe,hbs,1,9,1e-06,1e-07,-1.0,0.48379587299,3.2380353925e-09,0.029710365645,0.48288274032,5547.937
958,z,-38.76681743166551,+0.001,ch2-t_lda_+0001_z.out,lda,ch2-t,3,10,1e-06,1e-07,-1.0,0.22990506372,-1.3690442239e-11,-3.3683475063e-09,-0.22990506372,2864.539
959,non,-162.0048838822949,0,nah_lda_000.out,lda,nah,1,13,1e-06,1e-07,-1.0,2.2326608497,-7.785549894e-12,-8.111694675e-12,-2.2326608497,607.3151
960,z,-2.83483645295519,+0.001,he_lda_+0001_z.out,lda,he,1,4,1e-06,1e-07,-1.0,0.0016575820463,-1.2746995545e-12,-1.3367745713e-12,0.0016575820463,507.3881
961,non,-176.4405198997734,0,hccf_pbe_000.out,pbe,hccf,1,22,1e-06,1e-07,-1.0,0.18221873589,-1.1788402534e-07,-5.1675128674e-07,-0.18221873589,2338.503
962,z,-149.8774687479928,+0.001,ho2_lda_+0001_z.out,lda,ho2,2,45,1e-06,1e-07,-1.0,0.8071287816,-0.66251246399,-0.46086416467,0.011761244038,32117.29
963,y,-75.2078086690985,-0.001,oh_lda_-0001_y.out,lda,oh,2,9,1e-06,1e-07,-1.0,0.64834022858,-5.8288248708e-12,-0.008780879842,-0.64828076336,2886.462
964,y,-100.2858707736954,-0.001,licn_pbe_-0001_y.out,pbe,licn,1,15,1e-06,1e-07,-1.0,2.6901786161,2.5040107803,-0.98335700484,-6.7965922305e-11,6268.875
965,x,-546.344952652448,+0.001,so2_lda_+0001_x.out,lda,so2,1,18,1e-06,1e-07,-1.0,0.59918080964,0.020317992171,-8.9937489456e-08,-0.59883622288,14687.78
966,x,-391.0061814410379,-0.001,sih3f_pbe_-0001_x.out,pbe,sih3f,1,9,1e-06,1e-07,-1.0,0.46321717427,-0.030832334882,-4.0182021369e-05,0.4621899134,8206.44
967,z,-620.2804514651698,+0.001,nacl_lda_+0001_z.out,lda,nacl,1,10,1e-06,1e-07,-1.0,3.2968301173,-1.7995282495e-11,-4.5405502025e-12,-3.2968301173,6222.843
968,x,-161.44769590473,-0.001,na_lda_-0001_x.out,lda,na,2,9,1e-06,1e-07,-1.0,0.14107685198,-0.14107685198,-7.0301132137e-12,-6.7275099096e-12,3722.457
969,x,-149.3415864986874,+0.001,o2_lda_+0001_x.out,lda,o2,3,9,1e-06,1e-07,-1.0,0.008671375729,0.008671375727,-1.0892868637e-11,1.8815654878e-07,6899.902
970,z,-340.618005282698,-0.001,ph_lda_-0001_z.out,lda,ph,3,9,1e-06,1e-07,-1.0,0.20783278106,-1.0509490255e-11,-1.0425146123e-11,-0.20783278106,4701.468
971,x,-15.21852229589499,+0.001,beh_pbe_+0001_x.out,pbe,beh,2,12,1e-06,1e-07,-1.0,0.10313454764,0.03834459037,-3.4366504471e-12,0.095741460746,4085.79
972,y,-15.21852229589499,+0.001,beh_pbe_+0001_y.out,pbe,beh,2,12,1e-06,1e-07,-1.0,0.10313454764,-3.4098499353e-12,0.03834459037,0.095741460746,4136.466
973,y,-161.4476959064712,-0.001,na_lda_-0001_y.out,lda,na,2,9,1e-06,1e-07,-1.0,0.14107685198,-6.6930468718e-12,-0.14107685198,-6.7216692343e-12,3671.379
974,y,-149.3415864986874,+0.001,o2_lda_+0001_y.out,lda,o2,3,9,1e-06,1e-07,-1.0,0.0086713757289,-1.0664481203e-11,0.0086713757269,1.8815653683e-07,7005.921
975,y,-391.0061815080899,-0.001,sih3f_pbe_-0001_y.out,pbe,sih3f,1,9,1e-06,1e-07,-1.0,0.46322044648,-8.9176746526e-11,-0.030884216622,0.46218973074,7828.923
976,z,-75.91266635615766,+0.001,h2o_lda_+0001_z.out,lda,h2o,1,9,1e-06,1e-07,-1.0,0.71939611396,-6.5642404211e-12,-6.1339575033e-12,-0.71939611396,2041.696
977,y,-546.34496038311,+0.001,so2_lda_+0001_y.out,lda,so2,1,18,1e-06,1e-07,-1.0,0.59981930508,-4.125886901e-08,0.034350459893,-0.598834906,17263.32
978,z,-680.2403106165144,+0.001,p2_lda_+0001_z.out,lda,p2,1,10,1e-06,1e-07,-1.0,0.070280815945,-1.974562675e-11,-2.0089271121e-11,0.070280815945,7185.503
979,x,-75.2078077473259,-0.001,oh_lda_-0001_x.out,lda,oh,2,14,1e-06,1e-07,-1.0,0.64832107441,-0.006934154138,-5.5630691217e-12,-0.64828399103,4112.815
980,x,-100.2824099681299,-0.001,licn_pbe_-0001_x.out,pbe,licn,1,14,1e-06,1e-07,-1.0,2.6555828034,2.4771745201,-0.95693595549,-1.9772569591e-11,5836.914
981,z,-191.324604794945,-0.001,fcn_lda_-0001_z.out,lda,fcn,1,12,1e-06,1e-07,-1.0,0.94334511794,7.3342309242e-10,3.0884214952e-09,-0.94334511794,7032.258
982,non,-436.9837335523433,0,ch3sh_lda_000.out,lda,ch3sh,1,24,1e-06,1e-07,-1.0,0.63014246166,-0.47339623965,0.40459485741,0.096325093408,2058.864
983,x,-423.4716994120869,+0.001,hbs_pbe_+0001_x.out,pbe,hbs,1,9,1e-06,1e-07,-1.0,0.4837958729,0.029710364746,1.1391272702e-09,0.48288274028,5101.293
984,non,-150.5511279752793,0,hooh_lda_000.out,lda,hooh,1,27,1e-06,1e-07,-1.0,0.61692753994,4.3220282604e-11,4.0030282416e-09,0.61692753994,2141.736
985,y,-437.2825248959029,-0.001,hchs_pbe_-0001_y.out,pbe,hchs,1,11,1e-06,1e-07,-1.0,0.65855492264,4.1474868915e-09,-0.033034002143,-0.65772588579,6764.178
986,y,-130.7903217885938,-0.001,nh2oh_lda_-0001_y.out,lda,nh2oh,1,15,1e-06,1e-07,-1.0,0.23445114044,0.043177545307,0.23044096172,-1.0408614356e-11,8107.076
987,non,-188.4349171658171,0,hcooh_lda_000.out,lda,hcooh,1,23,1e-06,1e-07,-1.0,0.55769858523,-0.55111669942,-0.085428891981,8.4181238172e-08,2443.851
988,z,-535.7695108253565,-0.001,hocl_pbe_-0001_z.out,pbe,hocl,1,16,1e-06,1e-07,-1.0,0.58125916807,-0.56776482097,-7.0113751464e-09,0.12452039406,10253.79
989,x,-113.7829764643602,+0.001,hco_pbe_+0001_x.out,pbe,hco,2,17,1e-06,1e-07,-1.0,0.63039485446,0.59556171617,-0.20664925542,-2.0026571601e-07,14942.54
990,y,-162.0049052289675,-0.001,nah_lda_-0001_y.out,lda,nah,1,8,1e-06,1e-07,-1.0,2.2327737052,-7.7870725191e-12,-0.042685333962,-2.2323656467,2741.024
991,z,-422.7947760793018,+0.001,bs_pbe_+0001_z.out,pbe,bs,2,16,1e-06,1e-07,-1.0,0.21525887401,8.1582436737e-10,-9.8457425995e-11,-0.21525887401,15226.62
992,z,-79.34454213907746,-0.001,bn_pbe_-0001_z.out,pbe,bn,3,20,1e-06,1e-07,-1.0,0.7739893063,-7.8698536041e-12,-6.6799680512e-12,-0.7739893063,13465.13
993,z,-550.832391527956,+0.001,clcn_lda_+0001_z.out,lda,clcn,1,13,1e-06,1e-07,-1.0,1.2368166611,-2.6647523828e-12,5.9200422804e-10,1.2368166611,10348.09
994,z,-64.60730949051585,+0.001,ch2bh_pbe_+0001_z.out,pbe,ch2bh,1,14,1e-06,1e-07,-1.0,0.15948590104,-8.9849628049e-12,-8.2018131088e-12,-0.15948590104,6225.146
995,x,-39.4469259711416,-0.001,ch3_lda_-0001_x.out,lda,ch3,2,8,1e-06,1e-07,-1.0,0.017298515111,-0.017298515111,-6.6759763636e-12,8.4361281957e-13,3100.37
996,x,-322.927474717545,+0.001,na2_lda_+0001_x.out,lda,na2,1,8,1e-06,1e-07,-1.0,0.1855818068,0.1855818068,-1.3715401831e-11,-2.2586313015e-08,4798.618
997,z,-113.2427091732955,+0.001,co_pbe_+0001_z.out,pbe,co,1,10,1e-06,1e-07,-1.0,0.10401700593,-1.4197291685e-09,-3.0309300841e-09,0.10401700593,3810.748
998,non,-65.85387061840204,0,ch3bh2_pbe_000.out,pbe,ch3bh2,1,19,1e-06,1e-07,-1.0,0.28562134586,0.039237247513,-0.28291339951,1.9016970452e-07,1298.953
999,y,-992.1265499245392,-0.001,ocl2_lda_-0001_y.out,lda,ocl2,1,23,1e-06,1e-07,-1.0,0.21077038474,-7.138559549e-09,-0.057420841524,-0.20279793401,23077.23
1000,y,-125.0440253306072,+0.001,bh2f_lda_+0001_y.out,lda,bh2f,1,9,1e-06,1e-07,-1.0,0.25273787201,-1.0376877888e-09,0.019648938548,-0.25197291752,3841.716
1001,y,-684.8216674169867,+0.001,p2h4_pbe_+0001_y.out,pbe,p2h4,1,11,1e-06,1e-07,-1.0,0.38836762694,0.0011836883476,0.075594588502,0.38093762051,10277.77
1002,z,-131.6096677794658,+0.001,nh3o_pbe_+0001_z.out,pbe,nh3o,1,12,1e-06,1e-07,-1.0,1.9555721433,-3.6682230819e-06,-3.3117719192e-10,-1.9555721433,6653.761
1003,z,-56.51671005857148,+0.001,nh3_pbe_+0001_z.out,pbe,nh3,1,9,1e-06,1e-07,-1.0,0.56286526549,-5.0487894863e-12,2.180487296e-05,-0.56286526507,3335.334
1004,non,-191.3236747304547,0,fcn_lda_000.out,lda,fcn,1,23,1e-06,1e-07,-1.0,0.91664082229,7.9121547632e-08,3.3932846465e-07,-0.91664082229,2252.135
1005,y,-451.7197505556642,+0.001,hns_lda_+0001_y.out,lda,hns,1,10,1e-06,1e-07,-1.0,0.51475167581,0.010885797394,-0.51463655832,-5.7290013978e-07,5354.918
1006,z,-399.9147045806857,-0.001,mg2_pbe_-0001_z.out,pbe,mg2,1,9,1e-06,1e-07,-1.0,0.24176466119,-1.4744874946e-11,-1.5202714096e-11,-0.24176466119,5503.218
1007,x,-536.7029133272221,+0.001,hcccl_pbe_+0001_x.out,pbe,hcccl,1,11,1e-06,1e-07,-1.0,0.10797836225,0.028406021605,-1.1192796651e-09,-0.10417497132,8773.452
1008,x,-76.63101977131134,+0.001,c2h2_lda_+0001_x.out,lda,c2h2,1,9,1e-06,1e-07,-1.0,0.019996063074,0.019996063074,-9.0157965314e-12,7.6031118533e-11,3655.642
1009,z,-340.0058081964749,-0.001,p_lda_-0001_z.out,lda,p,4,9,1e-06,1e-07,-1.0,0.027891520387,-9.5042461925e-12,-1.0014432866e-11,-0.027891520387,4723.42
1010,x,-93.33091702103488,+0.001,hnc_pbe_+0001_x.out,pbe,hnc,1,11,1e-06,1e-07,-1.0,1.2061224089,0.016403649172,-1.8011967223e-10,1.2060108563,4520.949
1011,y,-26.27665395267045,+0.001,bh3_lda_+0001_y.out,lda,bh3,1,8,1e-06,1e-07,-1.0,0.020217004244,-4.4991918361e-12,0.020217004244,-5.1698950071e-12,1832.393
1012,z,-93.19836300984439,+0.001,h2cn_lda_+0001_z.out,lda,h2cn,2,18,1e-06,1e-07,-1.0,0.98535390487,-9.7104511795e-12,1.2586746558e-10,-0.98535390487,13772.03
1013,non,-498.288672293575,0,ch3cl_lda_000.out,lda,ch3cl,1,21,1e-06,1e-07,-1.0,0.73057682261,-8.8583667988e-06,-3.5960603918e-08,-0.73057682256,2122.947
1014,x,-109.7919129129142,+0.001,n2h2_lda_+0001_x.out,lda,n2h2,1,14,1e-06,1e-07,-1.0,1.1380653601,0.44046420077,-1.0570112103e-11,1.0493731709,7065.386
1015,y,-533.3689856664861,+0.001,ocl_lda_+0001_y.out,lda,ocl,2,17,1e-06,1e-07,-1.0,0.5733398788,2.6917120976e-05,0.018413571229,0.57304411374,17719.03
1016,x,-254.9744388431121,-0.001,nacn_pbe_-0001_x.out,pbe,nacn,1,16,1e-06,1e-07,-1.0,3.3885365569,-1.8083206894,-2.8656860054,-1.5722568403e-11,10742.92
1017,z,-0.4999933384757796,+0.001,h_pbe_+0001_z.out,pbe,h,2,5,1e-06,1e-07,-1.0,0.0055704495159,-6.2789946124e-13,-6.5992023328e-13,0.0055704495159,756.9315
1018,x,-557.9375270664763,-0.001,clf_lda_-0001_x.out,lda,clf,1,10,1e-06,1e-07,-1.0,0.30245153968,-0.017363470398,-1.768097117e-09,0.30195271774,5548.547
1019,z,-254.9726606708295,-0.001,nacn_pbe_-0001_z.out,pbe,nacn,1,13,1e-06,1e-07,-1.0,3.369310465,-1.7738859908,-2.8644213685,-0.025917660948,7814.951
1020,y,-342.9971838230356,+0.001,ph3_pbe_+0001_y.out,pbe,ph3,1,9,1e-06,1e-07,-1.0,0.23931083205,-1.0626318657e-11,0.031169078238,-0.2372723391,4557.775
1021,non,-166.7676578995672,0,nco_lda_000.out,lda,nco,2,39,1e-06,1e-07,-1.0,0.34138565692,-8.8886902908e-07,1.0429521469e-08,0.34138565692,6555.598
1022,z,-557.93722795232,-0.001,clf_lda_-0001_z.out,lda,clf,1,12,1e-06,1e-07,-1.0,0.27889246425,-8.892565638e-10,-1.2365985626e-08,0.27889246425,7337.366
1023,y,-169.6643563271444,-0.001,nali_pbe_-0001_y.out,pbe,nali,1,9,1e-06,1e-07,-1.0,0.20031324895,-9.2807801699e-12,-0.18208518995,0.083488809451,3430.0
1024,x,-0.4999933384757791,+0.001,h_pbe_+0001_x.out,pbe,h,2,5,1e-06,1e-07,-1.0,0.0055704495159,0.0055704495159,-6.595622314e-13,-6.3161525e-13,762.4948
1025,y,-176.4405300861082,-0.001,hccf_pbe_-0001_y.out,pbe,hccf,1,11,1e-06,1e-07,-1.0,0.1833095369,-6.7260208919e-10,-0.020134314693,-0.18220042725,7791.21
1026,non,-109.791485212947,0,n2h2_lda_000.out,lda,n2h2,1,18,1e-06,1e-07,-1.0,1.1303035502,0.41493492139,-1.0629995927e-11,1.0513872391,1070.81
1027,z,-109.7925472292649,+0.001,n2h2_lda_+0001_z.out,lda,n2h2,1,12,1e-06,1e-07,-1.0,1.1493894131,0.41295369259,-1.0571472906e-11,1.0726440559,5969.311
1028,y,-138.9936624063646,+0.001,ch2f_pbe_+0001_y.out,pbe,ch2f,2,16,1e-06,1e-07,-1.0,0.47137460528,0.17021348585,0.43956954824,2.0178137973e-10,13729.24
1029,x,-93.1993699029381,+0.001,h2cn_lda_+0001_x.out,lda,h2cn,2,14,1e-06,1e-07,-1.0,1.0123459466,0.016215218997,6.8608281268e-10,-1.0122160749,10802.6
1030,y,-229.6260277473933,+0.001,fno_pbe_+0001_y.out,pbe,fno,1,17,1e-06,1e-07,-1.0,0.58986788163,0.47049101188,0.35578409958,5.467179088e-08,10749.37
1031,y,-40.1217692841618,+0.001,ch4_lda_+0001_y.out,lda,ch4,1,8,1e-06,1e-07,-1.0,0.01774841306,-3.0878956668e-12,0.01774841306,-3.7014841081e-12,2320.54
1032,non,-0.4999905533828423,0,h_pbe_000.out,pbe,h,2,6,1e-06,1e-07,-1.0,1.1082672272e-12,-6.2766387055e-13,-6.594054995e-13,-6.3204327356e-13,194.6229
1033,y,-169.7921806339815,+0.001,hconh2_pbe_+0001_y.out,pbe,hconh2,1,15,1e-06,1e-07,-1.0,1.4981410975,-1.4794680134,-0.23579895103,5.1555891784e-10,11877.45
1034,y,-466.2080320319463,+0.001,licl_lda_+0001_y.out,lda,licl,1,9,1e-06,1e-07,-1.0,2.6862337272,-1.4413358607e-11,0.028864897819,-2.6860786389,3871.036
1035,z,-93.3321270653098,+0.001,hnc_pbe_+0001_z.out,pbe,hnc,1,11,1e-06,1e-07,-1.0,1.2304879284,-3.418707694e-09,-6.9985611536e-09,1.2304879284,4634.418
1036,x,-399.9146471147388,-0.001,mg2_pbe_-0001_x.out,pbe,mg2,1,9,1e-06,1e-07,-1.0,0.12699603841,-0.12699603841,-1.525527927e-11,5.0721836009e-08,6491.572
1037,y,-378.4203752188934,+0.001,hcp_lda_+0001_y.out,lda,hcp,1,10,1e-06,1e-07,-1.0,0.13968563639,-8.6732351384e-11,0.031237839025,0.13614798723,5081.879
1038,x,-340.0058081965791,-0.001,p_lda_-0001_x.out,lda,p,4,9,1e-06,1e-07,-1.0,0.027891520387,-0.027891520387,-1.0007933851e-11,-9.5746912854e-12,4760.479
1039,z,-76.63102574882214,+0.001,c2h2_lda_+0001_z.out,lda,c2h2,1,9,1e-06,1e-07,-1.0,0.031951655266,2.6332543107e-11,6.3387142242e-11,0.031951655266,3431.374
1040,y,-484.5158683832071,-0.001,bh2cl_lda_-0001_y.out,lda,bh2cl,1,9,1e-06,1e-07,-1.0,0.17075649566,7.0077915283e-11,-0.029282552581,-0.16822696849,5096.087
1041,z,-536.7028247456467,+0.001,hcccl_pbe_+0001_z.out,pbe,hcccl,1,13,1e-06,1e-07,-1.0,0.044546434239,-4.2283816167e-11,-9.2411218784e-10,-0.044546434239,10378.8
1042,x,-131.6116488997809,+0.001,nh3o_pbe_+0001_x.out,pbe,nh3o,1,15,1e-06,1e-07,-1.0,1.9859290128,0.020776581959,-4.2267812453e-11,-1.9858203286,8307.475
1043,non,-342.172529967474,0,alf_pbe_000.out,pbe,alf,1,15,1e-06,1e-07,-1.0,0.54053790988,1.4153237423e-07,-1.2676919159e-06,-0.54053790988,1487.847
1044,x,-56.51728884384364,+0.001,nh3_pbe_+0001_x.out,pbe,nh3,1,9,1e-06,1e-07,-1.0,0.58037901937,0.014489303188,1.7668371947e-05,-0.58019812642,3332.865
1045,y,-274.5646320477802,-0.001,of2_pbe_-0001_y.out,pbe,of2,1,19,1e-06,1e-07,-1.0,0.11197696571,3.3514060108e-09,-0.021108534738,0.10996940761,14094.83
1046,y,-498.2886864695757,+0.001,ch3cl_lda_+0001_y.out,lda,ch3cl,1,9,1e-06,1e-07,-1.0,0.73113625534,-6.1114770045e-06,0.028447636514,-0.73058261395,5317.214
1047,y,-155.6432874531426,+0.001,nh2f_pbe_+0001_y.out,pbe,nh2f,1,15,1e-06,1e-07,-1.0,0.83822189829,0.63519418875,-0.24303136499,0.4899796414,8687.889
1048,y,-93.84641200983901,+0.001,ch2nh_lda_+0001_y.out,lda,ch2nh,1,14,1e-06,1e-07,-1.0,0.78774937277,-0.53724035656,0.017963990346,0.57584648009,5923.728
1049,x,-64.60750432944202,+0.001,ch2bh_pbe_+0001_x.out,pbe,ch2bh,1,10,1e-06,1e-07,-1.0,0.2024744881,0.029920134165,-7.3827411004e-12,-0.2002516015,4483.076
1050,x,-550.8311907265628,+0.001,clcn_lda_+0001_x.out,lda,clcn,1,12,1e-06,1e-07,-1.0,1.1889684624,0.023942825906,2.1979888758e-08,1.1887273639,9616.172
1051,x,-113.2426193804274,+0.001,co_pbe_+0001_x.out,pbe,co,1,11,1e-06,1e-07,-1.0,0.088966539222,0.012506130887,-6.8427994216e-11,0.088083152711,4222.9
1052,z,-322.927544764452,+0.001,na2_lda_+0001_z.out,lda,na2,1,9,1e-06,1e-07,-1.0,0.32571653784,-1.3926683536e-11,-1.4253646134e-11,0.32571653784,5218.275
1053,z,-39.44692648569243,-0.001,ch3_lda_-0001_z.out,lda,ch3,2,9,1e-06,1e-07,-1.0,0.018333061537,-5.321329717e-06,3.3925908174e-11,-0.018333060765,3791.527
1054,x,-79.3437924079729,-0.001,bn_pbe_-0001_x.out,pbe,bn,3,24,1e-06,1e-07,-1.0,0.74376953219,-0.018124499267,-5.9846032768e-12,-0.74354866656,16212.29
1055,x,-422.795029159485,+0.001,bs_pbe_+0001_x.out,pbe,bs,2,19,1e-06,1e-07,-1.0,0.26175845912,0.0309357439,-5.1525580872e-12,-0.25992397094,18146.45
1056,y,-225.1307159242654,-0.001,bhf2_pbe_-0001_y.out,pbe,bhf2,1,10,1e-06,1e-07,-1.0,0.3055025525,-1.9228571872e-08,-0.019402943454,0.30488577429,7157.141
1057,y,-1.166700795274064,+0.001,h2_pbe_+0001_y.out,pbe,h2,1,5,1e-06,1e-07,-1.0,0.0050586179505,-1.3116580128e-12,0.0050586179503,4.1947398396e-08,741.9238
1058,non,-93.84640302843727,0,ch2nh_lda_000.out,lda,ch2nh,1,20,1e-06,1e-07,-1.0,0.78754394008,-0.5372377109,-3.413172089e-07,0.57584815667,1101.238
1059,z,-113.7823976005943,+0.001,hco_pbe_+0001_z.out,pbe,hco,2,25,1e-06,1e-07,-1.0,0.61146747283,0.57606074302,-0.20457998599,0.013911146948,22402.53
1060,y,-124.5862954058701,+0.001,bf_pbe_+0001_y.out,pbe,bf,1,10,1e-06,1e-07,-1.0,0.41306897072,4.5038646509e-12,0.021974778803,0.4124840405,4161.024
1061,x,-535.7702293440904,-0.001,hocl_pbe_-0001_x.out,pbe,hocl,1,10,1e-06,1e-07,-1.0,0.60994385821,-0.5899738271,-4.8799951902e-08,0.15479791181,6258.73
1062,z,-423.4721904269329,+0.001,hbs_pbe_+0001_z.out,pbe,hbs,1,10,1e-06,1e-07,-1.0,0.5288511208,-7.7970268348e-11,-4.8784131693e-12,0.5288511208,5818.972
1063,y,-399.2431192741439,+0.001,sh2_pbe_+0001_y.out,pbe,sh2,1,9,1e-06,1e-07,-1.0,0.38089010899,-4.2637302495e-12,0.025318467766,-0.3800476948,4075.747
1064,y,-2.834836452955183,+0.001,he_lda_+0001_y.out,lda,he,1,4,1e-06,1e-07,-1.0,0.0016575820462,-1.2739505197e-12,0.0016575820462,-1.2809329345e-12,505.4954
1065,y,-38.76706374993626,+0.001,ch2-t_lda_+0001_y.out,lda,ch2-t,3,12,1e-06,1e-07,-1.0,0.24624255714,-7.1892617612e-12,0.01707646195,-0.24564973315,3439.638
1066,x,-191.3236825360602,-0.001,fcn_lda_-0001_x.out,lda,fcn,1,10,1e-06,1e-07,-1.0,0.91677583747,-0.015462395616,-1.0727987077e-09,-0.91664543336,5664.151
1067,x,-680.2402960792762,+0.001,p2_lda_+0001_x.out,lda,p2,1,9,1e-06,1e-07,-1.0,0.041199630393,0.041199630393,-2.0101176937e-11,-4.0713163247e-09,6652.583
1068,x,-75.91339636141157,+0.001,h2o_lda_+0001_x.out,lda,h2o,1,8,1e-06,1e-07,-1.0,0.73006575249,0.010618118282,-6.059927233e-12,-0.72998853315,1820.821
